month,item,quantity,revenue
2026-09,item-0,0,89.24
2026-09,item-1,571,74.72
2026-09,item-2,99,25.63
2026-09,item-3,436,22.92
2026-09,item-4,470,97.19
2026-09,item-5,735,25.57
2026-09,item-6,110,65.74
2026-09,item-7,451,31.26
2026-09,item-8,9,13.35
2026-09,item-9,271,90.38
2026-09,item-10,146,68.35
2026-09,item-11,652,65.07
2026-09,item-12,772,97.94
2026-09,item-13,150,80.28
2026-09,item-14,356,68.58
2026-09,item-15,11,37.57
2026-09,item-16,555,28.77
2026-09,item-17,554,61.01
2026-09,item-18,282,19.90
2026-09,item-19,616,20.67
