month,item,quantity,revenue
2026-03,item-0,485,29.90
2026-03,item-1,869,93.63
2026-03,item-2,541,59.89
2026-03,item-3,484,94.63
2026-03,item-4,973,46.02
2026-03,item-5,214,40.80
2026-03,item-6,368,66.16
2026-03,item-7,697,62.95
2026-03,item-8,652,4.36
2026-03,item-9,86,83.82
2026-03,item-10,828,52.94
2026-03,item-11,360,72.92
2026-03,item-12,787,16.81
2026-03,item-13,521,38.10
2026-03,item-14,184,85.00
2026-03,item-15,556,5.48
2026-03,item-16,985,41.41
2026-03,item-17,16,67.67
2026-03,item-18,713,77.31
2026-03,item-19,339,29.29
